X_COORD,Y_COORD,SOFT_BIN,HARD_BIN,SITE_NUM,PART_ID,SourceFile
58,125,37,8,12,1,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
59,125,37,8,13,2,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,127,1,1,8,3,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,127,37,8,9,4,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,127,1,1,10,5,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,125,37,8,12,6,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,125,1,1,13,7,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,125,1,1,14,8,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,125,37,8,15,9,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,129,37,8,4,10,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,129,37,8,5,11,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,127,37,8,8,12,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,127,37,8,9,13,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,127,37,8,10,14,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,127,1,1,11,15,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,125,37,8,12,16,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,125,37,8,13,17,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,125,37,8,14,18,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,125,1,1,15,19,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,129,37,8,4,20,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,129,37,8,5,21,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,129,1,1,6,22,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,129,37,8,7,23,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,127,1,1,8,24,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,127,1,1,9,25,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,127,37,8,10,26,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,127,37,8,11,27,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,125,1,1,12,28,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,125,1,1,13,29,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,125,37,8,14,30,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,125,37,8,15,31,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,129,1,1,4,32,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,129,37,8,5,33,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,129,37,8,6,34,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,129,37,8,7,35,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,127,1,1,8,36,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,127,37,8,9,37,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,127,37,8,10,38,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,127,37,8,11,39,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,125,37,8,12,40,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,125,1,1,13,41,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,125,1,1,14,42,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,125,37,8,15,43,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,129,1,1,4,44,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,129,37,8,5,45,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,129,1,1,6,46,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,129,1,1,7,47,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,127,1,1,8,48,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,127,37,8,9,49,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,127,37,8,10,50,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,127,37,8,11,51,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
38,125,1,1,12,52,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,125,1,1,13,53,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,125,37,8,14,54,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,125,1,1,15,55,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
34,129,1,1,4,56,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
35,129,37,8,5,57,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
36,129,1,1,6,58,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
37,129,1,1,7,59,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
34,127,1,1,8,60,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
35,127,37,8,9,61,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
36,127,37,8,10,62,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
37,127,1,1,11,63,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
34,125,1,1,12,64,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
35,125,1,1,13,65,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
36,125,37,8,14,66,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
37,125,1,1,15,67,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
33,129,1,1,7,68,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
30,127,37,8,8,69,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
31,127,37,8,9,70,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
32,127,1,1,10,71,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
33,127,1,1,11,72,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
30,125,37,8,12,73,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
31,125,37,8,13,74,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
32,125,1,1,14,75,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
33,125,1,1,15,76,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
28,127,1,1,10,77,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
29,127,1,1,11,78,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
26,125,1,1,12,79,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
27,125,1,1,13,80,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
28,125,1,1,14,81,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
29,125,37,8,15,82,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
25,125,1,1,15,83,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
24,124,37,8,14,84,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
25,124,1,1,15,85,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
27,126,37,8,9,86,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
28,126,1,1,10,87,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
29,126,1,1,11,88,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
26,124,1,1,12,89,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
27,124,1,1,13,90,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
28,124,1,1,14,91,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
29,124,1,1,15,92,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
33,128,1,1,7,93,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
30,126,37,8,8,94,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
31,126,37,8,9,95,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
32,126,37,8,10,96,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
33,126,1,1,11,97,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
30,124,37,8,12,98,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
31,124,1,1,13,99,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
32,124,1,1,14,100,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
33,124,37,8,15,101,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
37,130,1,1,3,102,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
